Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score,Credit_History_Months,Num_Loan_Types,Has_Loan
January,23.0,Scientist,19114.12,1824.8433333333328,3.0,4.0,3.0,4.0,3,7.0,11.27,4.0,_,809.98,26.822619623699016,No,49.57494921489417,80.41529543900253,High_spent_Small_value_payments,312.49408867943663,Good,265.0,4,1
February,23.0,Scientist,19114.12,,3.0,4.0,3.0,4.0,-1,,11.27,4.0,Good,809.98,31.94496005538421,No,49.57494921489417,118.28022162236736,Low_spent_Large_value_payments,284.62916249607184,Good,,4,1
March,,Scientist,19114.12,,3.0,4.0,3.0,4.0,3,7.0,,4.0,Good,809.98,28.60935202206993,No,49.57494921489417,81.699521264648,Low_spent_Medium_value_payments,331.2098628537912,Good,267.0,4,1
April,23.0,Scientist,19114.12,,3.0,4.0,3.0,4.0,5,4.0,6.27,4.0,Good,809.98,31.377861869582357,No,49.57494921489417,199.4580743910713,Low_spent_Small_value_payments,223.45130972736783,Good,268.0,4,1
May,23.0,Scientist,19114.12,1824.8433333333328,3.0,4.0,3.0,4.0,6,,11.27,4.0,Good,809.98,24.797346908844982,No,49.57494921489417,41.420153086217326,High_spent_Medium_value_payments,341.48923103222177,Good,269.0,4,1
June,23.0,Scientist,19114.12,,3.0,4.0,3.0,4.0,8,4.0,9.27,4.0,Good,809.98,27.26225871052017,No,49.57494921489417,62.430172331195294,,340.4792117872438,Good,270.0,4,1
July,23.0,Scientist,19114.12,1824.8433333333328,3.0,4.0,3.0,4.0,3,8.0,11.27,4.0,Good,809.98,22.53759303178384,No,49.57494921489417,178.3440674122349,Low_spent_Small_value_payments,244.5653167062043,Good,271.0,4,1
August,23.0,Scientist,19114.12,1824.8433333333328,3.0,4.0,3.0,4.0,3,6.0,11.27,4.0,Good,809.98,23.93379480196552,No,49.57494921489417,24.785216509052056,High_spent_Medium_value_payments,358.12416760938714,Standard,,4,1
January,28.0,,34847.84,3037.986666666666,2.0,4.0,6.0,1.0,3,4.0,5.42,2.0,Good,605.03,24.46403063758457,No,18.816214573128885,104.291825168246,Low_spent_Small_value_payments,470.69062692529184,Standard,319.0,1,1
February,28.0,Teacher,34847.84,3037.986666666666,2.0,4.0,6.0,1.0,7,1.0,7.42,2.0,Good,605.03,38.550848433956325,No,18.816214573128885,40.39123782853101,High_spent_Large_value_payments,484.5912142650067,Good,320.0,1,1
March,28.0,Teacher,34847.84,3037.986666666666,2.0,,6.0,1.0,3,,5.42,2.0,_,605.03,33.22495078663659,No,18.816214573128885,58.51597569589465,High_spent_Large_value_payments,466.46647639764313,Standard,321.0,1,1
April,28.0,Teacher,34847.84,,2.0,4.0,6.0,1.0,3,3.0,5.42,2.0,Good,605.03,39.18265565546884,No,18.816214573128885,99.30622796053304,Low_spent_Medium_value_payments,465.6762241330048,Good,322.0,1,1
May,28.0,Teacher,34847.84,3037.986666666666,2.0,4.0,6.0,1.0,3,1.0,6.42,2.0,Good,605.03,34.97789474709241,No,18.816214573128885,130.11542024292334,Low_spent_Small_value_payments,444.8670318506144,Good,323.0,1,1
